------------------------------------------------------------
 Model:        tpxo7
 Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  mf  mm  m4  ms4 mn4 
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
 
     9.7958  103.4719
                          06.21.2000 00:00:00    -0.249    30.201
                          06.21.2000 01:00:00    -0.252    30.201
                          06.21.2000 02:00:00    -0.228    30.201
                          06.21.2000 03:00:00    -0.184    30.201
                          06.21.2000 04:00:00    -0.134    30.201
                          06.21.2000 05:00:00    -0.085    30.201
                          06.21.2000 06:00:00    -0.042    30.201
                          06.21.2000 07:00:00    -0.007    30.201
                          06.21.2000 08:00:00     0.021    30.201
                          06.21.2000 09:00:00     0.042    30.201
                          06.21.2000 10:00:00     0.057    30.201
                          06.21.2000 11:00:00     0.072    30.201
                          06.21.2000 12:00:00     0.090    30.201
                          06.21.2000 13:00:00     0.115    30.201
                          06.21.2000 14:00:00     0.144    30.201
                          06.21.2000 15:00:00     0.169    30.201
                          06.21.2000 16:00:00     0.181    30.201
                          06.21.2000 17:00:00     0.172    30.201
                          06.21.2000 18:00:00     0.140    30.201
                          06.21.2000 19:00:00     0.088    30.201
                          06.21.2000 20:00:00     0.024    30.201
                          06.21.2000 21:00:00    -0.048    30.201
                          06.21.2000 22:00:00    -0.119    30.201
                          06.21.2000 23:00:00    -0.181    30.201
                          06.22.2000 00:00:00    -0.223    30.201
                          06.22.2000 01:00:00    -0.238    30.201
                          06.22.2000 02:00:00    -0.226    30.201
                          06.22.2000 03:00:00    -0.191    30.201
                          06.22.2000 04:00:00    -0.143    30.201
                          06.22.2000 05:00:00    -0.094    30.201
                          06.22.2000 06:00:00    -0.050    30.201
                          06.22.2000 07:00:00    -0.013    30.201
                          06.22.2000 08:00:00     0.015    30.201
                          06.22.2000 09:00:00     0.035    30.201
                          06.22.2000 10:00:00     0.050    30.201
                          06.22.2000 11:00:00     0.061    30.201
                          06.22.2000 12:00:00     0.072    30.201
                          06.22.2000 13:00:00     0.089    30.201
                          06.22.2000 14:00:00     0.112    30.201
                          06.22.2000 15:00:00     0.136    30.201
                          06.22.2000 16:00:00     0.153    30.201
                          06.22.2000 17:00:00     0.155    30.201
                          06.22.2000 18:00:00     0.136    30.201
                          06.22.2000 19:00:00     0.098    30.201
                          06.22.2000 20:00:00     0.044    30.201
                          06.22.2000 21:00:00    -0.019    30.201
                          06.22.2000 22:00:00    -0.084    30.201
                          06.22.2000 23:00:00    -0.144    30.201
                          06.23.2000 00:00:00    -0.191    30.201
                          06.23.2000 01:00:00    -0.216    30.201
                          06.23.2000 02:00:00    -0.216    30.201
                          06.23.2000 03:00:00    -0.191    30.201
                          06.23.2000 04:00:00    -0.149    30.201
                          06.23.2000 05:00:00    -0.100    30.201
                          06.23.2000 06:00:00    -0.053    30.201
                          06.23.2000 07:00:00    -0.014    30.201
                          06.23.2000 08:00:00     0.017    30.201
                          06.23.2000 09:00:00     0.039    30.201
                          06.23.2000 10:00:00     0.053    30.201
                          06.23.2000 11:00:00     0.061    30.201
                          06.23.2000 12:00:00     0.067    30.201
                          06.23.2000 13:00:00     0.074    30.201
                          06.23.2000 14:00:00     0.086    30.201
                          06.23.2000 15:00:00     0.102    30.201
                          06.23.2000 16:00:00     0.118    30.201
                          06.23.2000 17:00:00     0.125    30.201
                          06.23.2000 18:00:00     0.118    30.201
                          06.23.2000 19:00:00     0.094    30.201
                          06.23.2000 20:00:00     0.054    30.201
                          06.23.2000 21:00:00     0.003    30.201
                          06.23.2000 22:00:00    -0.052    30.201
                          06.23.2000 23:00:00    -0.106    30.201
                          06.24.2000 00:00:00    -0.153    30.201
                          06.24.2000 01:00:00    -0.185    30.201
                          06.24.2000 02:00:00    -0.195    30.201
                          06.24.2000 03:00:00    -0.183    30.201
                          06.24.2000 04:00:00    -0.150    30.201
                          06.24.2000 05:00:00    -0.105    30.201
                          06.24.2000 06:00:00    -0.058    30.201
                          06.24.2000 07:00:00    -0.014    30.201
                          06.24.2000 08:00:00     0.021    30.201
                          06.24.2000 09:00:00     0.046    30.201
                          06.24.2000 10:00:00     0.062    30.201
                          06.24.2000 11:00:00     0.070    30.201
                          06.24.2000 12:00:00     0.072    30.201
                          06.24.2000 13:00:00     0.070    30.201
                          06.24.2000 14:00:00     0.070    30.201
                          06.24.2000 15:00:00     0.074    30.201
                          06.24.2000 16:00:00     0.081    30.201
                          06.24.2000 17:00:00     0.087    30.201
                          06.24.2000 18:00:00     0.086    30.201
                          06.24.2000 19:00:00     0.075    30.201
                          06.24.2000 20:00:00     0.051    30.201
                          06.24.2000 21:00:00     0.016    30.201
                          06.24.2000 22:00:00    -0.026    30.201
                          06.24.2000 23:00:00    -0.069    30.201
                          06.25.2000 00:00:00    -0.110    30.201
                          06.25.2000 01:00:00    -0.142    30.201
                          06.25.2000 02:00:00    -0.160    30.201
                          06.25.2000 03:00:00    -0.160    30.201
                          06.25.2000 04:00:00    -0.141    30.201
                          06.25.2000 05:00:00    -0.106    30.201
                          06.25.2000 06:00:00    -0.062    30.201
                          06.25.2000 07:00:00    -0.017    30.201
                          06.25.2000 08:00:00     0.022    30.201
                          06.25.2000 09:00:00     0.052    30.201
                          06.25.2000 10:00:00     0.072    30.201
                          06.25.2000 11:00:00     0.082    30.201
                          06.25.2000 12:00:00     0.082    30.201
                          06.25.2000 13:00:00     0.075    30.201
                          06.25.2000 14:00:00     0.064    30.201
                          06.25.2000 15:00:00     0.053    30.201
                          06.25.2000 16:00:00     0.046    30.201
                          06.25.2000 17:00:00     0.043    30.201
