SSC ID,Station Name,Country,Latitude,Longitude,IOC code,PTWC code,GLOSS ID,UHSLC ID,PSMSL ID,SONEL GPS,SONEL TG,Details,Edit
SSC-aarh,Aarhus,Denmark,56.15,10.22,,,,,76,,,[details],[edit]
SSC-aasi,Aasiaat,Greenland,68.72,-52.88,,,,,1900,,,[details],[edit]
SSC-abas,Abashiri,Japan,44.02,144.28,abas,abas,327.0,347,1104,797,2107,[details],[edit]
SSC-abbo,Abbot Point,Australia,-19.85,148.12,,,,,"1652, 1656",,,[details],[edit]
SSC-abed,Aberdeen,United Kingdom,57.14,-2.08,abed,,,,"21, 361",617,"2185, 2735",[details],[edit]
SSC-aber,Aberdeen Point,Sierra Leone,8.5,-13.23,,,,,298,,,[details],[edit]
SSC-abid,Abidjan,Ivory Coast,5.25,-4.0,,,257.0,230,"1313, 1558",,2882,[details],[edit]
SSC-abua,Abu Ali Pier,Saudi Arabia,27.3,49.65,,,,,1510,,,[details],[edit]
SSC-abur,Aburatsu,Japan,31.35,131.25,abur,abur,82.0,354,814,806,2209,[details],[edit]
SSC-aburr,Aburatsubo,Japan,35.16,139.62,,,,,130,779,2210,[details],[edit]
SSC-abus,Abu Safah,Saudi Arabia,26.95,50.5,,,,,1688,,,[details],[edit]
SSC-acaj,Acajutla,El Salvador,13.57,-89.84,acaj,acaj,182.0,82,"1011, 1302",,2859,[details],[edit]
SSC-acap,Acapulco,Mexico,16.83,-99.92,"acap, acap2, acya","acap, acp2, acya",267.0,316,686,2279,2280,[details],[edit]
SSC-accr,Accra,Ghana,5.53,-0.2,,,,,242,,,[details],[edit]
SSC-acnj,Atlantic City,United States,39.36,-74.42,"acnj, acnj2",acnj,220.0,264,180,2923,2876,[details],[edit]
SSC-adak,Adak,United States,51.86,-176.63,"adak, adak2",adak,302.0,40,487,2667,2666,[details],[edit]
SSC-aden,Aden,Yemen,12.79,44.97,aden,aden,3.0,172,44,,2790,[details],[edit]
SSC-agal,Agalega,Mauritius,-10.35,56.59,agal,agal,,,,,,[details],[edit]
SSC-agua,Aguadilla,United States,18.45,-67.17,agua,agua,,263,2121,"3039, 3040, 3041, 3042",3038,[details],[edit]
SSC-aigu,l'Aiguillon sur Mer,France,46.34,-1.32,,,,,,3476,3475,[details],[edit]
SSC-aina,Ainazi (Hainasch),Latvia,57.88,24.33,,,,,342,,,[details],[edit]
SSC-aion,Aion,Russia,69.93,167.98,,,,,730,,,[details],[edit]
SSC-aira,Aira,Japan,31.82,130.6,,,,,,3351,,[details],[edit]
SSC-ajac,Ajaccio,France,41.92,8.76,"ajac, ajac2",ajac,,,1929,"3197, 619",1719,[details],[edit]
SSC-akko,Akko,Israel,32.92,35.07,,,,,2218,,,[details],[edit]
SSC-aksa,Aksaz,Turkey,36.84,28.4,,,,,2013,,,[details],[edit]
SSC-akun,Akune,Japan,32.02,130.19,,,,,1265,794,2119,[details],[edit]
SSC-alak,Alitak,United States,56.9,-154.25,"alak, alak2",alak,,,,,,[details],[edit]
SSC-alam,Alameda,United States,37.77,-122.3,"alam, alam2",alam,,,437,3319,3318,[details],[edit]
SSC-alamn,Alamitos Bay Entrance,United States,33.75,-118.12,,,,,717,,,[details],[edit]
SSC-alba,Albany,Australia,-35.03,117.89,,,,,"957, 965",3236,3235,[details],[edit]
SSC-albak,Albany,United States,42.65,-73.75,,,,,1536,,,[details],[edit]
SSC-albu,Albufeira,Portugal,37.08,8.26,albu,albu,,,,,,[details],[edit]
SSC-alcu,Alcudia,Spain,39.87,3.12,alcu,,,,2063,,,[details],[edit]
SSC-alda,Aldabra,Seychelles,-9.4,46.22,,,,,1415,,,[details],[edit]
SSC-aler,Alert,Canada,82.49,-62.32,aler,,333.0,836,1110,625,2108,[details],[edit]
SSC-alerc,Alert Bay,Canada,50.58,-126.95,,,,,554,3200,3199,[details],[edit]
SSC-ales,Alesund,Norway,62.47,6.15,,,,,509,,,[details],[edit]
SSC-alex,Alexandria,Egypt,31.21,29.92,alex,alex,349.0,807,"2088, 503","2006, 933","2206, 3010",[details],[edit]
SSC-alexd,Alexandrovsk,Russia,50.92,142.2,,,,,349,,,[details],[edit]
SSC-alexf,Alexandroupolis,Greece,40.84,25.88,,,,,1238,,,[details],[edit]
SSC-alge,Algeciras,Spain,36.18,-5.4,alge,alge,,,,3373,3464,[details],[edit]
SSC-algo,Algo Cacs-acp,Canada,45.96,-78.07,,,,,,622,,[details],[edit]
SSC-alic,Alicantei,Spain,38.33,-0.48,,,,,"208, 960",620,"2212, 2744",[details],[edit]
SSC-alicg,Alice Springs Au012,Australia,-23.67,133.88,,,,,,623,,[details],[edit]
SSC-alme,Almeria,Spain,36.83,-2.48,alme,,,,"1455, 2056","3461, 624","2193, 2395",[details],[edit]
SSC-almi,Almirante Brown,Antarctica,-64.9,-62.87,,,,,858,,,[details],[edit]
SSC-alot,Alotau,Papua New Guinea,-10.32,150.45,,,63.0,69,"1607, 1616",,2819,[details],[edit]
SSC-alva,Alvarado,Mexico,18.77,-95.77,alva,,,,768,,,[details],[edit]
SSC-amal,Charlotte-Amalie,United States,18.33,-64.92,"amal, amal2",amal,,255,1393,"1899, 2664",2663,[details],[edit]
SSC-amas,Amasra,Turkey,41.43,32.23,,,,,1919,,,[details],[edit]
SSC-amba,Ambarchik,Russia,69.62,162.3,,,,,604,,,[details],[edit]
SSC-ambo,Ambon,Indonesia,-3.68,128.18,ambon,ambo,68.0,133,"1815, 347",3216,2821,[details],[edit]
SSC-amcl,Alternate Master Clock (utc Calibrated),United States,38.8,-104.53,,,,,,626,,[details],[edit]
SSC-amde,Amderma,Russia,69.75,61.7,,,,,599,,,[details],[edit]
SSC-amer,American River,Australia,-35.8,137.77,,,,,631,,,[details],[edit]
SSC-amhe,Amherst,Myanmar,16.08,97.57,,,,,746,,,[details],[edit]
