ID	NAME	latobs	lonobs
1630	Almeira (ES)	36.72506	-2.468386
1706	Valencia (ES)	39.44040	-0.2990
819	Barcelona (ES)	41.27749	2.213909
1449	Ibiza (ES)	38.79034	1.45098
1461	Palma de Mallorca (ES)	39.39457	2.614552
100080	Cartagena (ES)	37.45276	-0.9822839
1741	Sete (FR)	43.31857	3.761195
1721	Cannes (FR)	43.44241	6.971288
938	Melilla (ES)	35.38344	-2.867047
100062	Saida Marina (MA)	35.18242	-2.271415
1500	Corsica (IT)	42.967	9.35
1862	Porto Torres (IT)	40.96251	8.40323
1841	Carloforte (IT)	39.22599	8.231236
1848	Imperia (IT)	43.83057	8.14948
1846	Genova (IT)	44.32259	8.919402
1843	Civitavecchia (IT)	41.9992	11.67727
1855	Napoli (IT)	40.66343	14.20847
1847	Ginostra (IT)	38.78520	15.2018
1858	Palermo (IT)	38.16961	13.45963
1851	Lampedusa (IT)	35.48035	12.60743
100083	Panteleria (IT)	36.85567	11.92482
100084	Portopalo (IT)	36.66432	15.1286
1844	Crotone (IT)	39.05812	17.20896
100085	La Castella (IT)	38.86533	17.00952
1866	S. Benedetto del Tronto (IT)	42.96519	13.977
1870	Venezia 	45.38967	12.43677
1452	Katakolo (GR)	37.59575	21.32675
2003	Paleochora (GR)	35.19995	23.67472
2001	Kapsali (GR)	36.06577	23.00762
1463	Peiraias (GR)	37.81866	23.55226
2361	Kalathos (GR)	36.11199	28.14563
100086	Corinth (GR)	38.12706	22.87929
100088	Fethiye (TR)	36.45011	28.96766
1889	Iskenderum (TR)	36.66055	36.05855
100094	Batroun (LB)	34.36011	35.57984
2367	Ashkelon (IL)	31.67815	34.42682
1440	Alexandria (EG)	31.31375	29.87623
100091	Mangalia (RO)	43.79977	28.67779
100092	Constanta (RO)	44.20626	28.68428
100093	Sulina (RO)	45.14679	29.74185
