ID	NAME	Country	lat_obs	lon_obs	lat_calc	lon_calc
1630	Almeira	ES	36.83	-2.48	36.72506	-2.468386
1706	Valencia	ES	39.44	-0.31	39.4404	-0.299
819	Barcelona	ES	41.34	2.16	41.27749	2.213909
1461	Palma de Mallorca	ES	39.56	2.638	39.39457	2.614552
1741	Sete 	FR	43.3976	3.6991	43.31857	3.761195
1500	Corsica	FR	42.967	9.35	43.09528	9.267036
1841	Carloforte	IT	39.148	8.3095	39.22599	8.23124
1848	Imperia	IT	43.8783	8.0189	43.83057	8.14948
1846	Genova 	IT	44.4101	8.9255	44.32259	8.91940
1843	Civitavecchia	IT	42.094	11.7896	41.99920	11.67727
1855	Napoli 	IT	40.8414	14.2692	40.66343	14.20847
1847	Ginostra 	IT	38.7852	15.1908	38.78520	15.20180
1858	Palermo 	IT	38.1214	13.3713	38.16961	13.45963
1844	Crotone	IT	39.0836	17.1371	39.05812	17.20896
1866	S. Benedetto del Tronto 	IT	42.9551	13.8898	42.96519	13.97700
1863	Ravenna 	IT	44.4921	12.2827	44.49545	12.38681
1870	Venezia 	IT	45.4182	12.4265	45.38967	12.43677
2003	Paleochora 	GR	35.224	23.6786	35.19995	23.67472
2001	Kapsali	GR	36.1418	23.0037	36.06577	23.00762
2005	Koroni	GR	36.7975	21.9628	36.79333	22.01143
2361	Kalathos	GR	36.1139	28.0696	36.11199	28.14563
2031	Gokceada 	TR	40.233	25.894	40.2462	25.98771
